,STUDENT IDENTIFIER,STDNT_AGE,STDNT_GENDER,STDNT_BACKGROUND,IN_STATE_FLAG,INTERNATIONAL_STS,STDNT_MAJOR,STDNT_TEST_ENTRANCE_COMB,FIRST_TERM,HOUSING_STS,DISTANCE_FROM_HOME,HIGH_SCHL_GPA,FATHER_HI_EDU_DESC,MOTHER_HI_EDU_DESC,DEGREE_GROUP_DESC,FIRST_TERM_ATTEMPT_HRS,SECOND_TERM_ATTEMPT_HRS,COST_OF_ATTEND,EST_FAM_CONTRIBUTION,UNMET_NEED,Attrition,No_sub_first_term,No_sub_second_term,First_term_backlog_hrs,Second_term_backlog_hrs
0,7808615,0.10018877945720513,F,BGD 1,Y,N,Undeclared,1.0819891708982952,2007,On Campus,0.7766959232127894,1.8442031207854812,No Information,No Information,Bachelors,16,14.0,-1.010958025781965,0,0.0,1,4,4,0,0.0
1,7830063,1.8906657089930663,F,BGD 1,N,N,Undeclared,1.395593421028921,2008,Off Campus,0.09532757294096578,-0.717709863606425,College/Beyond,College/Beyond,Bachelors,18,18.0,1.0345200054098258,785760,459300.0,0,6,2,0,0.0
2,7847538,0.10018877945720513,M,BGD 1,Y,N,Mathematics,0.18295113740379088,2010,On Campus,0.7766959232127894,0.39362879700816206,High School,Other/Unknown,Bachelors,15,14.0,-1.010958025781965,0,0.0,0,5,3,0,0.0
3,8006429,0.10018877945720513,M,BGD 1,Y,N,Undeclared,1.6352756966146966,2007,On Campus,0.7766959232127894,-0.6314777361184155,College/Beyond,College/Beyond,Bachelors,13,14.0,-1.010958025781965,0,0.0,0,2,4,0,0.0
4,7962680,0.10018877945720513,F,BGD 1,Y,N,Art,1.395593421028921,2008,Off Campus,0.09532757294096578,1.5023787941995974,College/Beyond,High School,Bachelors,12,12.0,1.0345200054098258,519840,278340.0,0,4,4,0,0.0
5,7815697,0.10018877945720513,M,BGD 1,Y,N,Political Science,0.4755774147414855,2010,Off Campus,0.09532757294096578,1.8442031207854812,High School,College/Beyond,Bachelors,15,16.0,-1.010958025781965,0,0.0,0,5,4,0,0.0
6,7838856,0.10018877945720513,F,BGD 1,Y,N,Biology,-2.5358417512452998,2005,Off Campus,-1.7280596668774246,1.6726392539719592,No Information,No Information,Bachelors,16,15.0,-1.010958025781965,0,0.0,0,6,2,0,0.0
7,7960448,0.10018877945720513,F,BGD 1,Y,N,Biology,-1.7168759708434382,2005,Off Campus,-1.7280596668774246,1.8442031207854812,No Information,No Information,Bachelors,16,15.0,-1.010958025781965,0,0.0,0,4,2,0,0.0
8,7944779,0.10018877945720513,F,BGD 3,Y,N,Accounting,0.4755774147414855,2005,Off Campus,0.7766959232127894,1.8442031207854812,College/Beyond,College/Beyond,Bachelors,16,15.0,-1.010958025781965,0,0.0,0,4,3,0,0.0
9,7902044,0.10018877945720513,F,BGD 1,Y,N,Undeclared,-0.047694063648014186,2006,Off Campus,0.09532757294096578,1.0943691480479854,College/Beyond,College/Beyond,Bachelors,16,14.0,-1.010958025781965,0,0.0,0,4,4,0,0.0
10,7978363,0.10018877945720513,M,BGD 1,N,N,Criminal Justice,1.6352756966146966,2007,Off Campus,6.881523792309419,0.27927359129611573,College/Beyond,College/Beyond,Bachelors,15,18.0,1.0242267800510383,1061820,203040.0,0,5,3,0,3.0
11,7884573,0.10018877945720513,F,BGD 1,Y,N,Undeclared,0.4755774147414855,2007,Off Campus,0.09532757294096578,1.8442031207854812,Middle School/Junior High,High School,Bachelors,16,16.0,1.0151703272798975,5163240,0.0,1,6,4,0,0.0
12,7915174,0.10018877945720513,F,BGD 6,Y,N,Biology,1.9607592175592756,2008,Off Campus,0.09532757294096578,1.6726392539719592,No Information,No Information,Bachelors,17,13.0,-1.010958025781965,0,0.0,0,4,2,0,0.0
13,7793763,-2.3920584710735393,M,BGD 1,Y,N,Psychology,1.6352756966146966,2008,Off Campus,-1.7280596668774246,1.8442031207854812,College/Beyond,High School,Bachelors,15,16.0,1.023153645481629,1344360,0.0,0,3,4,0,0.0
14,7856147,0.10018877945720513,F,BGD 1,Y,N,Theatre Arts,1.9607592175592756,2010,On Campus,0.09532757294096578,1.7460075230372047,College/Beyond,College/Beyond,Bachelors,15,18.0,-1.010958025781965,0,0.0,0,2,2,0,0.0
15,7963414,0.10018877945720513,F,BGD 1,Y,N,Theatre Arts,1.6352756966146966,2010,On Campus,0.7766959232127894,0.30208831913654965,High School,College/Beyond,Bachelors,18,15.0,-1.010958025781965,0,0.0,0,3,3,0,0.0
16,7824708,0.10018877945720513,F,BGD 1,Y,N,Undeclared,0.4755774147414855,2010,Off Campus,0.09532757294096578,-0.031022156001615966,High School,College/Beyond,Bachelors,12,17.0,-1.010958025781965,0,0.0,0,4,4,0,4.0
17,8004193,-2.3920584710735393,M,BGD 1,N,N,Biology,0.18295113740379088,2009,Off Campus,2.6614997606483612,0.6476750333120324,College/Beyond,High School,Bachelors,14,14.0,1.031059952085734,241500,476580.0,1,4,5,0,0.0
18,7847769,0.10018877945720513,M,BGD 6,Y,N,Biology,0.7752877038123299,2010,On Campus,0.7766959232127894,-1.7347876820781187,College/Beyond,College/Beyond,Bachelors,17,17.0,-1.010958025781965,0,0.0,0,4,6,4,0.0
19,7955834,0.10018877945720513,F,BGD 1,N,N,Nursing,-0.10249345394562985,2005,Off Campus,-1.7280596668774246,1.14196447907524,High School,High School,Bachelors,12,13.0,0.9628042157339599,268680,409500.0,0,3,2,0,0.0
20,7835444,0.10018877945720513,F,BGD 3,Y,N,Nursing,-0.6514198814019851,2006,On Campus,0.6950510835119063,1.1658029098790705,College/Beyond,College/Beyond,Bachelors,12,13.0,1.0134785997743279,1875240,0.0,0,4,2,0,0.0
21,7879984,0.10018877945720513,F,BGD 1,Y,N,Undeclared,2.2929225544702443,2006,On Campus,1.4756018470946584,1.1896684819688388,High School,College/Beyond,Bachelors,15,13.0,-1.010958025781965,0,0.0,0,4,3,0,0.0
22,8033729,0.10018877945720513,F,BGD 1,Y,N,Nursing,1.395593421028921,2007,Off Campus,0.09532757294096578,0.6476750333120324,College/Beyond,College/Beyond,Bachelors,13,16.0,1.0151703272798975,5328600,0.0,0,4,4,0,0.0
23,8007842,0.10018877945720513,F,BGD 1,Y,N,Pre-Nursing,-2.5358417512452998,2008,Off Campus,0.09532757294096578,-0.21545730974680155,High School,High School,Bachelors,15,15.0,-1.010958025781965,0,0.0,1,4,4,0,0.0
24,7840904,0.10018877945720513,F,BGD 1,Y,N,Pre-Nursing,2.2929225544702443,2008,Off Campus,0.09532757294096578,1.8442031207854812,College/Beyond,High School,Bachelors,15,17.0,0.8551810394119744,0,0.0,0,6,4,0,0.0
25,7884297,0.10018877945720513,F,BGD 3,Y,N,Nursing,0.7752877038123299,2008,On Campus,0.6950510835119063,1.1896684819688388,College/Beyond,High School,Bachelors,13,18.0,-1.010958025781965,0,0.0,0,4,5,0,0.0
26,8035107,0.10018877945720513,F,BGD 1,Y,N,Chemistry,-2.5358417512452998,2005,Off Campus,0.09532757294096578,1.8442031207854812,High School,College/Beyond,Bachelors,13,15.0,1.0103223692461076,1474560,0.0,0,4,2,0,0.0
27,7988952,0.10018877945720513,F,BGD 1,Y,N,Pre-Engineering/RETP,0.7752877038123299,2006,On Campus,-1.7280596668774246,0.8110913652639316,No Information,High School,Bachelors,16,16.0,1.0134785997743279,314700,405060.0,0,4,3,0,0.0
28,7877120,0.10018877945720513,F,BGD 1,N,N,Early Childhood Education,1.6352756966146966,2006,Off Campus,0.09532757294096578,1.8442031207854812,No Information,No Information,Bachelors,13,16.0,-1.010958025781965,0,0.0,0,4,4,0,0.0
29,7889681,0.10018877945720513,F,BGD 1,Y,N,Biology,2.2929225544702443,2006,On Campus,0.30940233539803175,1.3815669728199274,No Information,No Information,Bachelors,13,15.0,-1.010958025781965,0,0.0,0,5,2,0,0.0
30,7906085,0.10018877945720513,F,BGD 1,Y,N,Pre-Engineering/RETP,-2.276050236279965,2007,On Campus,0.7766959232127894,1.5995103839764273,College/Beyond,College/Beyond,Bachelors,17,15.0,-1.010958025781965,0,0.0,0,5,2,0,0.0
31,7960831,0.10018877945720513,F,BGD 3,Y,N,Biology,-0.047694063648014186,2008,Off Campus,0.09532757294096578,1.8442031207854812,College/Beyond,College/Beyond,Bachelors,13,14.0,-1.010958025781965,0,0.0,0,5,2,0,0.0
32,7979908,-2.3920584710735393,F,BGD 3,Y,N,Pre-Engineering/RETP,0.7752877038123299,2008,Off Campus,-1.7280596668774246,1.8442031207854812,College/Beyond,High School,Bachelors,15,13.0,1.023153645481629,406080,502080.0,0,6,3,0,0.0
33,7792083,0.10018877945720513,F,BGD 3,Y,N,Biology,0.4755774147414855,2009,On Campus,0.7766959232127894,1.8442031207854812,High School,College/Beyond,Bachelors,16,16.0,1.0403580671592252,1439460,0.0,0,5,2,0,0.0
34,7872470,0.10018877945720513,F,BGD 1,Y,N,Biology,1.6352756966146966,2010,Off Campus,0.09532757294096578,1.648236330750114,High School,High School,Bachelors,14,14.0,-1.010958025781965,0,0.0,0,3,3,0,0.0
35,7912174,0.10018877945720513,F,BGD 3,Y,N,Music Performance,-2.8294552703514473,2005,Off Campus,1.0091371737708927,0.48561835471471454,College/Beyond,College/Beyond,Bachelors,14,15.0,1.0096488714309981,1254840,0.0,0,3,2,0,0.0
36,7799972,0.10018877945720513,F,BGD 1,Y,N,Undeclared,-2.276050236279965,2005,On Campus,0.6950510835119063,0.8815407497039169,No Information,No Information,Bachelors,18,14.0,-1.010958025781965,0,0.0,1,4,3,0,0.0
37,7980894,-2.3920584710735393,F,BGD 1,Y,N,Undeclared,-2.5358417512452998,2005,Off Campus,-1.7280596668774246,1.8442031207854812,College/Beyond,High School,Bachelors,14,17.0,-1.010958025781965,0,0.0,0,3,2,0,3.0
38,7774359,1.8906657089930663,M,BGD 1,Y,N,Music Performance,-2.5358417512452998,2005,Off Campus,0.30940233539803175,1.7460075230372047,College/Beyond,College/Beyond,Bachelors,15,17.0,-1.010958025781965,0,0.0,0,4,2,0,0.0
39,7924473,0.10018877945720513,M,BGD 1,Y,N,Music Performance,1.6352756966146966,2005,Off Campus,0.7766959232127894,-0.54477291795607,College/Beyond,High School,Bachelors,15,16.0,-1.010958025781965,0,0.0,0,3,2,0,0.0
40,7979978,0.10018877945720513,F,BGD 1,Y,N,Art,-0.047694063648014186,2005,Off Campus,0.09532757294096578,0.8345469804348111,No Information,No Information,Bachelors,15,7.0,-1.010958025781965,0,0.0,0,4,2,0,0.0
41,7888437,0.10018877945720513,F,BGD 1,N,N,Music Performance,1.9607592175592756,2005,Off Campus,2.545166786809678,1.5995103839764273,No Information,No Information,Bachelors,17,19.0,0.7686787175645768,0,0.0,0,3,2,0,0.0
42,7817369,0.10018877945720513,F,BGD 1,Y,N,Early Childhood Education,-2.276050236279965,2006,Off Campus,0.09532757294096578,1.3334303988984084,No Information,No Information,Bachelors,16,15.0,-1.010958025781965,0,0.0,0,5,3,0,0.0
43,7807175,0.10018877945720513,F,BGD 1,Y,N,Chemistry,0.18295113740379088,2006,On Campus,0.09532757294096578,1.8442031207854812,Middle School/Junior High,High School,Bachelors,15,15.0,1.0134785997743279,10680,587580.0,0,4,4,0,0.0
44,7800120,0.10018877945720513,F,BGD 1,Y,N,Early Childhood Education,-2.5358417512452998,2006,Off Campus,-1.7280596668774246,0.8815407497039169,College/Beyond,College/Beyond,Bachelors,14,17.0,1.050011288299635,1489800,0.0,0,4,4,0,0.0
45,7911769,0.10018877945720513,F,BGD 1,Y,N,Psychology,1.0819891708982952,2006,Off Campus,0.30940233539803175,0.7408899322170149,College/Beyond,High School,Bachelors,15,15.0,1.0134785997743279,821220,56040.0,1,4,5,0,0.0
46,7812855,-2.3920584710735393,F,BGD 1,Y,N,English Language/Literature,2.6316910897775756,2006,Off Campus,0.09532757294096578,-0.031022156001615966,No Information,No Information,Bachelors,15,12.0,-1.010958025781965,0,0.0,0,4,2,0,0.0
47,7922706,0.10018877945720513,F,BGD 1,Y,N,Joint Enrollment - Accel,0.4755774147414855,2007,Off Campus,0.30940233539803175,1.8442031207854812,High School,No Information,Bachelors,16,13.0,0.7511391992350578,519840,0.0,0,4,3,0,0.0
48,7936910,0.10018877945720513,F,BGD 1,Y,N,Accounting,0.4755774147414855,2007,Off Campus,0.09532757294096578,1.8442031207854812,High School,High School,Bachelors,12,12.0,1.0279984159846285,0,438960.0,0,3,3,0,0.0
49,7908767,0.10018877945720513,F,BGD 1,Y,N,Psychology,-0.047694063648014186,2007,Off Campus,-1.7280596668774246,0.5549040987661018,No Information,No Information,Bachelors,15,16.0,0.8240168505823086,0,0.0,0,4,3,0,0.0
50,8012125,0.10018877945720513,F,BGD 1,Y,N,Accounting,0.7752877038123299,2007,Off Campus,-1.7280596668774246,1.6726392539719592,Other/Unknown,High School,Bachelors,12,15.0,1.026668776475383,0,655380.0,0,4,4,0,0.0
51,7920043,0.10018877945720513,F,BGD 6,Y,N,Biology,0.4755774147414855,2008,Off Campus,0.09532757294096578,1.6726392539719592,Middle School/Junior High,Middle School/Junior High,Bachelors,12,15.0,1.023153645481629,0,624300.0,0,4,2,0,0.0
52,8021841,0.10018877945720513,F,BGD 1,Y,N,Criminal Justice,-0.047694063648014186,2009,On Campus,0.3980343598902707,1.0468827031642134,High School,College/Beyond,Bachelors,15,15.0,1.0411889381881656,118740,237480.0,0,3,4,0,2.0
53,7913009,0.10018877945720513,F,BGD 1,Y,N,Theatre Arts,1.9607592175592756,2009,On Campus,0.7766959232127894,-0.6961962686228156,College/Beyond,High School,Bachelors,13,12.0,1.0411889381881656,611340,222300.0,0,2,2,0,0.0
